"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Metabolism Of RNA R-HSA-8953854","10/666",5.20969768958331e-08,2.80883137304765e-06,0,0,13.3813747228381,224.407780601856,"TRMT112;METTL14;WTAP;METTL3;HNRNPA2B1;IGF2BP1;IGF2BP3;IGF2BP2;ELAVL1;RBMX"
"Reversal Of Alkylation Damage By DNA Dioxygenases R-HSA-73943","3/7",1.29638371063738e-07,2.80883137304765e-06,0,0,516.310344827586,8187.91639302603,"ALKBH3;FTO;ALKBH5"
"Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) Bind RNA R-HSA-428359","3/7",1.29638371063738e-07,2.80883137304765e-06,0,0,516.310344827586,8187.91639302603,"IGF2BP1;IGF2BP3;IGF2BP2"
"DNA Damage Reversal R-HSA-73942","3/8",2.07197259128566e-07,3.36695546083921e-06,0,0,413.027586206897,6356.32709166877,"ALKBH3;FTO;ALKBH5"
"Processing Of Capped Intron-Containing Pre-mRNA R-HSA-72203","6/242",2.05363117132918e-06,2.66972052272793e-05,0,0,19.2946544980443,252.680885688073,"METTL14;WTAP;METTL3;HNRNPA2B1;ELAVL1;RBMX"
"RHOBTB1 GTPase Cycle R-HSA-9013422","2/23",0.000614419138429379,0.00665620733298494,0,0,63.3238095238095,468.269010716029,"RBM15;RBMX"
"RHOBTB GTPase Cycle R-HSA-9706574","2/35",0.00142777931374932,0.0132579507705294,0,0,40.2727272727273,263.852208305054,"RBM15;RBMX"
"mRNA Splicing - Major Pathway R-HSA-72163","3/181",0.00298113631259359,0.0242217325398229,0,0,11.5013560635413,66.8855696099676,"HNRNPA2B1;ELAVL1;RBMX"
"mRNA Splicing R-HSA-72172","3/189",0.00336730513455209,0.0243194259717651,0,0,11.0022246941046,62.6427343093678,"HNRNPA2B1;ELAVL1;RBMX"
"InlA-mediated Entry Of Listeria Monocytogenes Into Host Cells R-HSA-8876493","1/8",0.0127306462090213,0.0775423085403703,0,0,91.9861751152074,401.404037415501,"CBLL1"
"DNA Repair R-HSA-73894","3/310",0.0131225445222165,0.0775423085403703,0,0,6.62507020105582,28.7092353755985,"FTO;ALKBH3;ALKBH5"
"HuR (ELAVL1) Binds And Stabilizes mRNA R-HSA-450520","1/10",0.0158887058240638,0.0860638232136788,0,0,71.5376344086021,296.31937970283,"ELAVL1"
"Methylation R-HSA-156581","1/14",0.0221754973519546,0.110877486759773,0,0,49.5161290322581,188.595414196714,"TRMT112"
"Listeria Monocytogenes Entry Into Host Cells R-HSA-8876384","1/19",0.0299792961708411,0.139189589364619,0,0,35.752688172043,125.393553496355,"CBLL1"
"RHOBTB2 GTPase Cycle R-HSA-9013418","1/23",0.0361788650960567,0.156775082082912,0,0,29.2463343108504,97.0767774581286,"RBMX"
"Gene And Protein Expression By JAK-STAT Signaling After Interleukin-12 Stimulation R-HSA-8950505","1/35",0.0545481487828968,0.210792150758336,0,0,18.9127134724858,55.0108707299771,"HNRNPA2B1"
"tRNA Modification In Nucleus And Cytosol R-HSA-6782315","1/42",0.0651064590233131,0.210792150758336,0,0,15.6782061369001,42.8286498458153,"TRMT112"
"RND1 GTPase Cycle R-HSA-9696273","1/42",0.0651064590233131,0.210792150758336,0,0,15.6782061369001,42.8286498458153,"RBMX"
"RND3 GTPase Cycle R-HSA-9696264","1/42",0.0651064590233131,0.210792150758336,0,0,15.6782061369001,42.8286498458153,"RBMX"
"RND2 GTPase Cycle R-HSA-9696270","1/43",0.0666054334357438,0.210792150758336,0,0,15.3041474654378,41.4584629169609,"RBMX"
"Interleukin-12 Signaling R-HSA-9020591","1/44",0.06810207947577,0.210792150758336,0,0,14.9474868717179,40.1601234423428,"HNRNPA2B1"
"Interleukin-12 Family Signaling R-HSA-447115","1/54",0.0829412465365423,0.245053682948875,0,0,12.1211199026172,30.1770164092678,"HNRNPA2B1"
"Cytoprotection By HMOX1 R-HSA-9707564","1/57",0.0873481810302957,0.246083553363816,0,0,11.4700460829493,27.9622870166988,"LRPPRC"
"rRNA Modification In Nucleus And Cytosol R-HSA-6790901","1/60",0.0917345968770788,0.246083553363816,0,0,10.8851831601968,26.0031317026935,"TRMT112"
